,Name,Company,City,Ratings,Summary,Date
3078,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
3079,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
3080,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
3081,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
3082,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3083,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3084,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3085,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
3086,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
3087,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
3088,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
3089,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
3090,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
3091,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,"Projects include ad hoc data analysis, business process workflow analysis and documentation.
Interns will work with employees throughout the organization to…",30+ days ago
3092,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3093,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3094,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3095,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
3096,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
3097,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
3098,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
3099,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
3100,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
3101,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
3102,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
3103,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
3104,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
3105,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
3106,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
3107,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
3108,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
3109,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,Interns will work with employees throughout the organization to forward business objectives in the areas of insurance operations and corporate functions.,30+ days ago
3110,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
3111,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3112,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3113,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3114,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
3115,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
3116,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
3117,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
3118,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
3119,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
3120,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
3121,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3122,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3123,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3124,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
3125,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
3126,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
3127,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
3128,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
3129,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
3130,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
3131,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3132,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3133,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3134,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
3135,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
3136,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
3137,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
3138,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
3139,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
3140,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
3141,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3142,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3143,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3144,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
3145,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
3146,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
3147,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
3148,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
3149,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
3150,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
3151,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
3152,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
3153,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
3154,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
3155,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
3156,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
3157,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
3158,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
3159,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
3160,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
3161,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
3162,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
3163,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
3164,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
3165,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
3166,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
3167,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
3168,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,Interns will work with employees throughout the organization to forward business objectives in the areas of insurance operations and corporate functions.,30+ days ago
3169,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
3170,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
3171,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
3172,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
3173,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
3174,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
3175,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
3176,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
3177,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
3178,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
3179,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
3180,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3181,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3182,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3183,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
3184,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
3185,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
3186,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
3187,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
3188,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
3189,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,"Projects include ad hoc data analysis, business process workflow analysis and documentation.
Interns will work with employees throughout the organization to…",30+ days ago
3190,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
3191,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
3192,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
3193,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
3194,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
3195,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
3196,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
3197,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
3198,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
3199,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
3200,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3201,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3202,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3203,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
3204,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
3205,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
3206,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
3207,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
3208,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
3209,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
3210,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3211,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3212,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3213,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
3214,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
3215,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
3216,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
3217,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
3218,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
3219,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
3220,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
3221,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3222,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
3223,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
